    1. 當空氣密度增加時，對飛機升力的影響為何者？
(A) 升力增加。
(B) 升力降低。
(C) 升力不變。
(D) 升力有時增加有時降低。

    2. 下列何者非影響空氣密度之因素？
(A) 高度。
(B) 溫度。
(C) 濕度。
(D) 應力。

    3. 當空氣中分子較少且稀薄，表示其密度高度為何？
(A) 越高。
(B) 越低。
(C) 可能高也可能低。
(D) 無法判斷。

    4. 當空氣中分子較多且濃厚，表示其密度高度為何？
(A) 越高。
(B) 越低。
(C) 可能高也可能低。
(D) 無法判斷。

    5. 高密度高度之環境比較不會出現於下列何處？
(A) 低海拔處。
(B) 高溫處。
(C) 非常潮濕之處。
(D) 低大氣壓力之處。

    6. 低密度高度之環境比較不會出現於下列何處？
(A) 大氣壓力極高之處。
(B) 低海拔處。
(C) 乾燥處。
(D) 高溫處。

    7. 空氣可藉由外界的作功達到下列哪種效果？
(A) 加工成形。
(B) 染色。
(C) 壓縮及膨脹。
(D) 以上皆是。

    8. 於固定空氣體積下，升溫時該體積空氣密度減少，降溫時該體積空氣密度為下列何種變化？
(A) 增加。
(B) 減少。
(C) 不變。
(D) 有時增加有時減少。

    9. 對流層裡，溫度及壓力均隨高度增加而有下列何種變化？
(A) 降低。
(B) 增加。
(C) 不變。
(D) 有時增加有時降低。

    10. 下列有關大氣壓力量測之敘述，何者錯誤？
(A) 國際標準大氣(International Standard Atmosphere，ISA)為各國公認之參考校正基準。
(B) 海平面大氣壓力為29.92英吋汞柱(inHg)。
(C) 一標準大氣壓力等於1017.2毫巴值。
(D) 每上升1,000英呎，氣壓值減少約1英吋汞柱。

    11. 標準一大氣壓的29.92吋汞柱換算成毫巴值為下列哪個數值？
(A) 10.132。
(B) 101.32。
(C) 1013.2。
(D) 10132。

    12. 大氣壓力之實際值與標準值存在差距，係由於哪項因素所影響？
(A) 壓力錶廠牌差異。
(B) 地面溫度不平均。
(C) 壓力錶讀法差異。
(D) 壓力錶校正值差異。

    13. 若遙控無人機操作人未能注意大氣壓力實際值與標準值間之差距並適時修正，可能無法精確掌握何項資訊？
(A) 實際高度。
(B) 實際航向。
(C) 實際滾轉角。
(D) 實際引擎轉速。

    14. 氣象資料顯示某區域之氣壓值有向上提升之趨勢，代表該區域天氣狀況有何種變化？
(A) 天氣轉壞。
(B) 天氣可能轉好也可能轉壞。
(C) 天氣好轉。
(D) 以上皆非。

    15. 氣象資料顯示某區域之氣壓值有向下降低之趨勢，代表該區域天氣狀況有何種變化？
(A) 天氣好轉。
(B) 天氣轉壞。
(C) 天氣有時晴朗有時轉壞。
(D) 以上皆非。

    16. 空氣的水平運動稱為？
(A) 「雲」。
(B) 「風」。
(C) 「霧」。
(D) 「霾」。

    17. 有關風速的單位下列何者為非？
(A) 公尺/每秒 （m/s）。
(B) 公里/每小時 （km/h）。
(C) 海浬/每小時 （kts）。
(D) 公斤/每小時 （kg）。

    18. 遙控無人機通常應於下列哪種風向下起降？
(A) 順風。
(B) 側風。
(C) 逆風。
(D) 任何風向。

    19. 遙控無人飛機於逆風下起飛，不會有以下哪種特性？
(A) 增加穩定性。
(B) 增加操縱性。
(C) 減少起飛距離。
(D) 減少操縱性。

    20. 遙控無人機飛經下列哪個區域較易遭受亂流影響，且其亂流強度與周遭環境有密切關聯？
(A) 大草原區。
(B) 寬廣湖泊區。
(C) 平坦操場上空。
(D) 深山峽谷區。

    21. 當越強勁的風吹過多山地區時，背風面的風場會如何變化？
(A) 漸趨平穩。
(B) 有時平穩有時不平穩。
(C) 漸趨不平穩。
(D) 不變。

    22. 遙控無人機飛航活動期間，可能於任何高度遭遇不同風切狀況，其中以哪一項對其操控性影響最大？
(A) 超高空風切。
(B) 高空風切。
(C) 向量風切。
(D) 低空風切。

    23. 遙控無人機於起降階段突遇風速與風向之明顯改變，不會有下列哪種影響？
(A) 飛行姿態改變。
(B) 飛行軌跡改變。
(C) 所獲升力改變。
(D) 最大載重改變。

    24. 下列針對發生於臺灣地區低空風切之敘述，何者較為正確？
(A) 於鋒面過境時較為溫和，西南季風吹拂時較為強烈。
(B) 於鋒面過境時較為強烈，西南季風吹拂時較為溫和。
(C) 鋒面過境或西南季風吹拂時均為溫和。
