    1. 遙控無人機操作人在執行任務前及過程中，需確保參與執行的成員不受下列哪種狀況的影響？
(A) 娛樂圈八卦和謠言。
(B) 國內股市行情。
(C) 酒精及藥物。
(D) 世界經濟發展情勢。

    2. 遙控無人機操作人在執行任務前及過程中，下列哪種狀況也可能影響操作安全？
(A) 娛樂圈八卦和謠言。
(B) 一般的成藥如抗組織胺或解除充血劑。
(C) 國內股市行情。
(D) 世界經濟發展情勢。

    3. 有關可能影響操作人安全操作遙控無人機的因素主要有下列哪種狀況？
(A) 過度換氣、壓力、疲勞。
(B) 脫水、熱中暑。
(C) 酒精與藥物。
(D) 以上皆是。

    4. 過度換氣若無法善加控制，可能讓遙控無人機操作人進入下列哪個狀態？
(A) 神經緊張。
(B) 意識不清。
(C) 心情鬱悶。
(D) 懷疑心重。

    5. 過度換氣的常見症狀有下列哪種狀況？
(A) 視界窄化、意識不清。
(B) 輕快或暈眩感、肢體末稍有刺痛感。
(C) 對冷熱敏感、肌肉痙攣感。
(D) 以上皆是。

    6. 過度換氣的改善方法是下列哪種方式？
(A) 多閱讀、多聽音樂。
(B) 適當的飲食。
(C) 血液裡的二氧化碳濃度恢復到正常狀態。
(D) 擴展社交範圍。

    7. 最好的預防及矯治過度換氣的方法就是下列哪種方式？
(A) 讓呼吸保持正常、朝向紙袋呼吸或大聲交談。
(B) 多閱讀、多聽音樂。
(C) 適當的飲食。
(D) 擴展社交範圍。

    8. 下列哪種狀況是人體對於生理及心理的需求所做出的反應？
(A) 脫水。
(B) 壓力。
(C) 熱中暑。
(D) 酒醉。

    9. 壓力源包括下列哪種狀況？
(A) 物理的壓力（如噪音及振動）。
(B) 生理的壓力（如疲勞）。
(C) 心理的壓力（如工作困難或個人情緒因素）。
(D) 以上皆是。

    10. 持續性的急性壓力可能發展成下列哪種狀況？
(A) 不定期的過度換氣壓力。
(B) 不定期的疲勞壓力。
(C) 長期的慢性壓力。
(D) 不定期的酒精壓力。

    11. 慢性壓力在長期累積或壓抑下，會導致下列哪種狀況？
(A) 個人能力大幅提升。
(B) 個人能力時好時壞。
(C) 個人能力大幅下滑。
(D) 個人能力保持不變。

    12. 遙控無人機操作人若體驗到壓力已導致己身能力下滑時即應採取下列哪種作為？
(A) 暫停執行任務、適當休息。
(B) 堅持到底、繼續執行任務。
(C) 順其自然、不必大驚小怪。
(D) 邊聽音樂舒壓、邊執行任務。

    13. 狀況警覺是對哪些風險元素的認知與瞭解？
(A) 飛行作業。
(B) 操作人、航空器。
(C) 環境及任務種類。
(D) 以上皆是。

    14. 下列哪種狀況可能使遙控無人機操作人過度集中注意力在某件事物而失去對整體任務的掌握？
(A) 疲勞。
(B) 壓力。
(C) 工作量過多。
(D) 以上皆是。

    15. 操作遙控無人機前藉由下列哪些有效的工作量管理，以確保飛行任務安全執行？
(A) 計畫。
(B) 整理。
(C) 排序工作任務。
(D) 以上皆是。

    16. 疲勞可分為下列哪幾種？
(A) 生理性疲勞。
(B) 心理性疲勞。
(C) 急性與慢性疲勞。
(D) 以上皆是。

    17. 疲勞會導致下列哪幾種症狀，影響遙控無人機操作人的判斷力？
(A) 注意力渙散。
(B) 專注力下降。
